NMAX:,1000,,,,
TOL:,1e-10,,,,
Max Range:,100000,,,,
Max Coefficient:,100000,,,,
Max Degree:,11,,,,
Number of Runs:,100,,,,
Test Runtime (s): ,131.29,,,,
,,,,,
Method,Bounds (+/-),Degree,Coefficient,Time (ns),Average Iterations
bisection,10,1,1,189252.79,28.89
bisection,10,1,10,195484.89,32.76
bisection,10,1,100,208253.77,36.63
bisection,10,1,1000,211915.92,39.22
bisection,10,1,10000,220873.1,42.74
bisection,10,3,1,141601.89,11.44
bisection,10,3,10,142424.24,13.21
bisection,10,3,100,144450.5,13.56
bisection,10,3,1000,144783.84,13.86
bisection,10,3,10000,152196.45,15.49
bisection,10,5,1,121769.69,6.97
bisection,10,5,10,123422.5,8.55
bisection,10,5,100,122358.16,8.17
bisection,10,5,1000,123498.37,8.7
bisection,10,5,10000,128869.98,9.77
bisection,10,7,1,115382.22,5.4
bisection,10,7,10,118682.39,6.65
bisection,10,7,100,117610.29,6.24
bisection,10,7,1000,121239.28,7.6
bisection,10,7,10000,122638.79,7.21
bisection,10,9,1,113465.59,4.64
bisection,10,9,10,116321.23,5.73
bisection,10,9,100,115004.2,5.15
bisection,10,9,1000,115388.94,5.58
bisection,10,9,10000,120473.31,6.39
bisection,100,1,1,193877.97,35.59
bisection,100,1,10,207593.79,40.64
bisection,100,1,100,216266.14,43.63
bisection,100,1,1000,221269.41,46.75
bisection,100,1,10000,229163.85,49.56
bisection,100,3,1,145053.22,16.21
bisection,100,3,10,147032.62,16.18
bisection,100,3,100,147935.21,17.62
bisection,100,3,1000,149292.78,17.91
bisection,100,3,10000,154989.34,19.87
bisection,100,5,1,135082.74,11.21
bisection,100,5,10,133815.75,11.4
bisection,100,5,100,139092.88,12.26
bisection,100,5,1000,137584.63,13.31
bisection,100,5,10000,142626.23,14.06
bisection,100,7,1,129239.84,9.49
bisection,100,7,10,132269.06,9.64
bisection,100,7,100,130084.98,10.55
bisection,100,7,1000,129746.05,10.44
bisection,100,7,10000,133627.7,11.1
bisection,100,9,1,124403.16,8.59
bisection,100,9,10,125607.94,8.91
bisection,100,9,100,125200.42,8.88
bisection,100,9,1000,126002.72,8.92
bisection,100,9,10000,129512.27,9.61
bisection,1000,1,1,211396.08,41.0
bisection,1000,1,10,217676.94,44.73
bisection,1000,1,100,225491.62,47.74
bisection,1000,1,1000,232567.26,51.41
bisection,1000,1,10000,233316.17,51.12
bisection,1000,3,1,154213.49,18.8
bisection,1000,3,10,154732.47,20.3
bisection,1000,3,100,156044.81,21.04
bisection,1000,3,1000,158892.39,22.15
bisection,1000,3,10000,163755.82,23.05
bisection,1000,5,1,139840.28,14.59
bisection,1000,5,10,141396.74,15.21
bisection,1000,5,100,143022.22,15.89
bisection,1000,5,1000,147349.42,16.71
bisection,1000,5,10000,146652.92,17.11
bisection,1000,7,1,135119.9,12.72
bisection,1000,7,10,136620.61,13.29
bisection,1000,7,100,137874.66,13.81
bisection,1000,7,1000,141916.55,14.27
bisection,1000,7,10000,140523.43,14.66
bisection,1000,9,1,131177.01,11.47
bisection,1000,9,10,133262.22,12.02
bisection,1000,9,100,137052.53,12.42
bisection,1000,9,1000,135489.58,12.55
bisection,1000,9,10000,136611.16,13.24
bisection,10000,1,1,215380.56,44.52
bisection,10000,1,10,226697.04,47.87
bisection,10000,1,100,232036.08,50.94
bisection,10000,1,1000,235668.75,52.32
bisection,10000,1,10000,238740.25,52.81
bisection,10000,3,1,159923.77,22.25
bisection,10000,3,10,163364.37,23.63
bisection,10000,3,100,168045.78,24.52
bisection,10000,3,1000,167874.59,25.77
bisection,10000,3,10000,171903.93,26.98
bisection,10000,5,1,148411.64,17.98
bisection,10000,5,10,153062.7,18.84
bisection,10000,5,100,151944.12,19.33
bisection,10000,5,1000,153479.19,19.9
bisection,10000,5,10000,155374.48,20.52
bisection,10000,7,1,147036.75,16.12
bisection,10000,7,10,145459.33,16.46
bisection,10000,7,100,146545.14,16.87
bisection,10000,7,1000,148296.47,17.4
bisection,10000,7,10000,151604.19,17.8
bisection,10000,9,1,141496.7,15.01
bisection,10000,9,10,142463.65,15.38
bisection,10000,9,100,144034.54,15.99
bisection,10000,9,1000,149023.51,16.21
bisection,10000,9,10000,148712.22,16.54
bisection,100000,1,1,228079.53,47.95
bisection,100000,1,10,232931.16,51.21
bisection,100000,1,100,238226.68,52.48
bisection,100000,1,1000,235373.56,52.19
bisection,100000,1,10000,238967.06,52.76
bisection,100000,3,1,168810.9,25.78
bisection,100000,3,10,171769.92,26.88
bisection,100000,3,100,174280.01,27.99
bisection,100000,3,1000,180181.37,28.78
bisection,100000,3,10000,186813.85,30.28
bisection,100000,5,1,158778.64,21.52
bisection,100000,5,10,161842.38,21.8
bisection,100000,5,100,161455.36,22.54
bisection,100000,5,1000,163769.05,23.41
bisection,100000,5,10000,164692.26,23.73
bisection,100000,7,1,155695.86,19.31
bisection,100000,7,10,153917.17,19.76
bisection,100000,7,100,155416.73,20.2
bisection,100000,7,1000,156386.97,20.62
bisection,100000,7,10000,159866.02,21.12
