steffenson,"1,000.00",3,"100,000,000.00","129,513.71",1
steffenson,"100,000.00",5,"100,000,000.00","129,627.21",1
steffenson,"10,000.00",7,"100,000,000.00","129,666.83",1
steffenson,100.00,7,"1,000,000.00","129,784.66",1
steffenson,"1,000.00",7,1.00,"129,876.77",1
steffenson,"1,000.00",5,100.00,"129,933.36",1
steffenson,"10,000.00",5,"10,000.00","129,936.92",1
steffenson,"1,000.00",9,100.00,"129,952.61",1
steffenson,"10,000.00",3,"100,000,000.00","129,988.69",1
steffenson,"10,000.00",7,"1,000,000.00","130,128.02",1
steffenson,"10,000.00",3,"1,000,000.00","130,128.83",1
bisection_mod,10,7,100.00,"130,170.12",7.25
bisection_mod,10,9,"1,000,000.00","130,336.29",7.41
steffenson,"10,000.00",5,1.00,"130,354.62",1
steffenson,"100,000.00",7,100.00,"130,378.86",1
steffenson,"1,000.00",5,"1,000,000.00","130,399.48",1
steffenson,"100,000.00",5,"1,000,000.00","130,460.37",1
steffenson,"10,000.00",7,100.00,"130,474.14",1
steffenson,100.00,9,"10,000.00","130,513.87",1
steffenson,100.00,7,100.00,"130,572.27",1
steffenson,"1,000.00",9,"1,000,000.00","130,595.91",1
steffenson,"1,000.00",5,"10,000.00","130,649.66",1
steffenson,"10,000.00",7,1.00,"130,704.12",1
steffenson,"100,000.00",7,"100,000,000.00","130,869.08",1
steffenson,"1,000.00",7,"100,000,000.00","130,898.87",1
steffenson,"100,000.00",5,1.00,"130,971.57",1
bisection_mod,10,9,"10,000.00","131,183.15",7.64
steffenson,"100,000.00",5,"10,000.00","131,248.28",1
steffenson,"100,000.00",3,"100,000,000.00","131,304.07",1
steffenson,"10,000.00",9,1.00,"131,389.31",1
steffenson,100.00,9,"1,000,000.00","131,408.06",1
bisection_mod,10,5,1.00,"131,573.59",7.91
fixed_point,10,9,1,"131,593.38",2
steffenson,"100,000.00",9,"1,000,000.00","131,713.46",1
steffenson,"1,000.00",9,"100,000,000.00","131,980.25",1
steffenson,"100,000.00",7,1.00,"132,012.43",1
steffenson,100.00,1,"10,000.00","132,169.12",2
steffenson,"1,000.00",1,"10,000.00","132,344.73",2
steffenson,"100,000.00",3,"1,000,000.00","132,579.01",1
steffenson,"100,000.00",7,"1,000,000.00","132,623.77",1
steffenson,"1,000.00",7,"10,000.00","132,788.28",1
steffenson,100.00,1,"100,000,000.00","132,802.68",2
steffenson,"10,000.00",1,"1,000,000.00","132,855.73",2
regula_falsi,10000,1,100,"132,878.83",1
steffenson,"1,000.00",1,100.00,"132,920.92",2
steffenson,"10,000.00",1,"100,000,000.00","133,029.34",2
regula_falsi,10000,1,10000,"133,106.65",1
bisection_mod,10,9,"100,000,000.00","133,184.03",8.07
steffenson,"100,000.00",9,1.00,"133,594.28",1
steffenson,"1,000.00",1,"1,000,000.00","133,681.85",2
steffenson,"1,000.00",7,"1,000,000.00","133,745.88",1
bisection_mod,10,7,"10,000.00","133,884.33",8.34
steffenson,"100,000.00",3,"10,000.00","133,925.14",1
steffenson,100.00,9,1.00,"134,243.86",1.96
steffenson,"100,000.00",1,"1,000,000.00","134,311.32",2
steffenson,"100,000.00",9,100.00,"134,794.05",1
